Designator,Mid X,Mid Y,Layer,Rotation
C1,37.620000mm,-5.200000mm,Top,180
C2,28.500000mm,-5.300000mm,Top,90
C3,28.500000mm,-12.900000mm,Top,270
C4,35.600000mm,-12.800000mm,Top,180
C5,46.100000mm,-14.200000mm,Top,0
C6,45.800000mm,-4.800000mm,Top,90
C7,26.100000mm,-7.200000mm,Top,90
C8,35.600000mm,-11.800000mm,Top,180
C9,35.600000mm,-13.800000mm,Top,180
C10,18.000000mm,-7.000000mm,Top,270
C11,23.000000mm,-8.000000mm,Top,90
C12,3.300000mm,-8.400000mm,Top,180
D1,20.700000mm,-4.700000mm,Top,0
D2,35.600000mm,-4.200000mm,Top,90
J1,3.925000mm,-6.000000mm,Top,90
J3,48.800000mm,-2.400000mm,Top,90
J4,64.000000mm,-12.525000mm,Top,0
J5,34.900000mm,-21.300000mm,Top,0
J6,62.775000mm,-8.375000mm,Top,90
R1,18.100000mm,-4.700000mm,Top,180
R2,35.600000mm,-6.800000mm,Top,270
R3,35.200000mm,-9.100000mm,Top,270
R4,56.900000mm,-5.200000mm,Top,270
R5,55.900000mm,-5.200000mm,Top,90
R6,54.400000mm,-5.200000mm,Top,270
R7,53.400000mm,-5.200000mm,Top,90
R8,51.900000mm,-5.200000mm,Top,270
R9,50.900000mm,-5.200000mm,Top,90
R10,35.200000mm,-17.000000mm,Top,90
R11,34.100000mm,-17.000000mm,Top,90
R12,49.300000mm,-5.200000mm,Top,270
R13,48.300000mm,-5.200000mm,Top,90
R14,36.300000mm,-17.000000mm,Top,90
R15,5.300000mm,-8.400000mm,Top,180
R16,59.700000mm,-6.100000mm,Top,0
U1,41.900000mm,-9.600000mm,Top,-90
U2,20.500000mm,-7.500000mm,Top,270
Y1,31.000000mm,-9.100000mm,Top,270
